Geneid,dimA_light_mean_rpm,wt_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_70770,122.22401821513147,105.66327041173679,0.01204425465578079,0.21005384469441302,1.9192200706259677
PA14_70780,66.114480859379,52.65080833881954,0.008463184684676313,0.32851060541320776,2.072466181792978
PA14_70790,313.29244523487097,217.47021350137084,0.002176031973479996,0.5266921662748406,2.6623347276301477
PA14_70800,74.8927656580997,63.1576192071152,0.0979344834598477,0.24586957256210487,1.0090643629522966
PA14_70810,96.4170606843971,71.5395813922849,0.2513405333359417,0.43054676400926406,0.5997374676962496
PA14_70830,79.67934251321174,38.88436559795553,0.05339278695970021,1.0350155099239988,1.2725174095479772
PA14_70850,75.39283817323799,42.12267288828772,0.004780098593516664,0.8398304729590953,2.320563145609921
PA14_70860,137.72744157009444,94.6557618990314,0.03364975858702014,0.5410537969884773,1.4730180471814933
PA14_70870,0.8904398614279542,1.125026683775084,0.7133395301675687,-0.3373685747308729,0.14670370860520418
PA14_70880,2069.6888970329765,1555.8511092889803,0.33048389537250855,0.41170992160362874,0.4808496990263407
PA14_70890,15.525468497639354,15.71593001209843,0.9378283598781044,-0.017590842310153863,0.027876638357309573
PA14_70900,57.74247786815358,55.15103007580807,0.8119125733022723,0.06624518464299924,0.09049073304523725
PA14_70910,265.28895814645693,178.65070357584455,0.49997877306265703,0.570423028924543,0.3010484335388751
PA14_70920,33.33099341131484,37.488787058804334,0.30145791514507125,-0.16959482352244912,0.5207733087178537
PA14_70930,86.08401032208978,113.06150641853203,0.007268888518952693,-0.3932906237070442,2.1385319917529495
PA14_70940,111.45203713471597,98.2519511263469,0.5511748683955431,0.18186502132836566,0.25871059292547544
PA14_70950,370.1126553027963,306.3797606928053,0.1403687402998562,0.2726434687273536,0.8527295975254738
PA14_70970,65.90549908072153,47.766947289493,0.24535438631427137,0.4643861538829216,0.6102061735295871
PA14_70980,38.93305229686461,38.091280828353085,0.9530214773809933,0.0315346533497638,0.020897311950396007
PA14_71000,163.17676211284706,164.28440838653492,0.9151275383838513,-0.009759947183636193,0.038518375489344475
PA14_71020,86.4748061973663,88.71775495146203,0.509770923377031,-0.03694298180511134,0.29262493971225445
PA14_71030,129.26290239750156,150.06502332920138,0.037720496972869416,-0.21527946429813238,1.423422594005944
PA14_71060,7.0391620762852085,5.391838164817482,0.14651454979013231,0.38462640521500024,0.834119245072298
PA14_71070,97.46744585418533,75.61608051324481,0.10621386670203273,0.3662273612150304,0.973818780438702
PA14_71080,8.846189898555052,6.611097068276791,0.1373890338070366,0.42016642327388715,0.8620479306473318
PA14_71090,16.727448667809014,14.770392145039947,0.08496790439307499,0.17950926865847155,1.0707450928419908
PA14_71100,4.038647091226131,4.309748121779605,0.8499298919443634,-0.09373143308268056,0.0706168964003268
PA14_71110,1.5804438617442784,2.0378587502447933,0.3718549177286328,-0.36672392570795737,0.429626470655491
PA14_71120,2.6274374765698623,3.858428055706075,0.24561673982969323,-0.5543564800770043,0.6097420374986352
PA14_71140,7.473242878221328,11.52431074573129,0.05842247520055274,-0.6248740391514945,1.2334200471028036
PA14_71150,4.529357802361431,8.07219424135213,0.03142399898900141,-0.8336541462667532,1.5027385478656212
PA14_71160,10.039186985857254,13.125606884849594,0.23439898421741398,-0.3867416348081222,0.6300442746920348
PA14_71170,22.352611001372455,20.842030396979748,0.6267918418512795,0.10094752472454041,0.20287666482314975
PA14_71180,14.682703019801295,12.055250841788451,0.32376103252608596,0.28445588027354524,0.4897754235792198
