Geneid,bphP_light_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_53030,23.944111317140955,25.443074468779383,0.37363296357196657,-0.08760211763883068,0.42755481534910683
PA14_53040,302.3086689596102,266.01560833862635,0.6309821701481154,0.18451145176598555,0.19998291257153838
PA14_53050,152.4710229399799,69.41761139379086,0.1596966408031176,1.1351614445742428,0.7967042190901534
PA14_53070,1204.2134288045222,776.0553357614582,0.1401809719778154,0.6338596792387995,0.8533109330588641
PA14_53090,10.12751599822431,9.390209811481812,0.6951021458272953,0.10905105435248805,0.1579513707918797
PA14_53100,1.7182740575545123,1.149900216864954,0.4392849512028579,0.5794510649842631,0.35725367431606725
PA14_53110,35.787759420918185,34.40409497525486,0.7584307242414443,0.05688592845116992,0.12008408192230494
PA14_53120,207.9703075166186,201.03959057183738,0.7219571606794252,0.04889792714813613,0.141488571727465
PA14_53140,230.82701649227567,254.96749859886702,0.07136159431032371,-0.1435012639371541,1.146535455823057
PA14_53150,53.856449852520335,65.26129581089184,0.2272889223892027,-0.27710849638752416,0.6434217304099962
PA14_53160,33.645079821600774,48.59163858842609,0.03799779737943906,-0.5303125261205228,1.4202415774274015
PA14_53180,61.26823040859181,50.762827874225756,0.2257053839463392,0.2713667376318285,0.6464580811956187
PA14_53190,449.72604438275795,406.597750674272,0.6192427063742432,0.14544420083161108,0.2081390999622684
PA14_53200,756.3175734335758,697.5568221214794,0.0971234191699412,0.11668139902397845,1.0126760369308865
PA14_53210,51.219065552508546,63.8574989289631,0.35122018766867646,-0.3181751107186919,0.45442052938001587
PA14_53220,160.10699619637535,298.8254397003673,0.010346664855669065,-0.9002666184239185,1.9851996181489433
PA14_53230,55.65820922391013,103.49119571268484,0.0005264247179984762,-0.8948416302504394,3.2786637268441154
PA14_53250,5819.984616851955,8198.681886336519,0.2022242708342402,-0.49437664431712397,0.6941667218567248
PA14_53260,76.92623773050546,100.66542874187671,0.05988911796561726,-0.38802064648056206,1.2226520830668364
PA14_53270,6.816565915794599,7.145236854105684,0.7525177007988815,-0.06793671150908766,0.12348328009442819
PA14_53290,49.73705818100174,53.57680662515792,0.16961334966152097,-0.10728741333790896,0.7705399689650931
PA14_53300,63.40709550478831,101.55603953494857,0.34489606976223286,-0.6795598328269965,0.4623117545752017
PA14_53310,31.608147115384117,37.45882827797555,0.1734377524102501,-0.24500929897962948,0.7608563631522623
