Geneid,dimA_light_mean_rpm,dimA_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_00620,174.56973025216362,193.57908321718432,0.6624130276869102,-0.14911964963834712,0.17887113486312164
PA14_00630,354.016987813955,320.09013594664845,0.5003427704693879,0.14534037145377848,0.30073237102243805
PA14_00640,452.39466140905125,513.9996369022277,0.583729975157879,-0.18418543507789384,0.23378800463157373
PA14_00650,44.310747528226614,73.04214457465154,0.10737100851825124,-0.7210724377895785,0.9691129676144238
PA14_00660,51.0751266165087,41.86165949953673,0.028464777232892428,0.28699136036737555,1.5456922106546167
PA14_00670,118.75750995642409,119.3167606858064,0.954719802477305,-0.006777966594071423,0.02012406935147854
PA14_00680,9.908118107426082,10.014207792077158,0.9337549331318501,-0.015365322693147753,0.029767090744114676
PA14_00690,43.63858578228332,35.21940159100186,0.004427889111752606,0.3092339384081416,2.3538032637546884
PA14_00700,15.068540091884282,14.23271441761817,0.6575712143219141,0.08232880526921539,0.182057206621864
PA14_00710,120.74664769763473,79.73605159268274,0.132655221409074,0.5986790535196764,0.8772756511884728
PA14_00720,86.03870834518399,67.36810312033127,0.3228366488367175,0.352920180729213,0.4910171694763121
PA14_00730,19.329389923919763,25.55155927344271,0.003425804090234292,-0.4026151996726838,2.4652374764443374
PA14_00740,9.777044223955533,11.594439072925278,0.2637140741184997,-0.2459627034654115,0.578866691788304
PA14_00750,49.93754440596852,47.45208681011301,0.6693762964381322,0.0736533440734315,0.1743296706881114
PA14_00760,57.46944388727538,51.99688741486471,0.28666604135563617,0.14436981967495505,0.5426237508113024
PA14_00770,23.407690057006842,24.178433293263712,0.7779929069635927,-0.04673818915010788,0.10902436249696151
PA14_00780,36.64426266511797,32.00061358874333,0.09525850940797026,0.1954877580041454,1.0210962185514714
PA14_00790,499.477490189654,506.7048160421655,0.8875193661267609,-0.02072587918603423,0.051822161641628194
PA14_00800,84.1447017058196,75.87710408425366,0.061130322241379396,0.14920781181392972,1.2137433148713672
PA14_00810,21.799758188957053,21.220574765402382,0.6743849040445817,0.03884839657806126,0.17109215985946322
PA14_00820,169.4362773144413,163.9695290109763,0.8229090458976223,0.04731505780034476,0.08464816363056753
PA14_00830,51.55881811885513,49.84582327900844,0.5978972833042394,0.04874656939087645,0.22337341990090415
PA14_00850,8.603218948199862,8.914541049454515,0.7684671471093065,-0.051283961019450104,0.11437469437649604
PA14_00860,7.151440810041219,7.5294883088352345,0.7795362763105341,-0.07431787545875675,0.10816366978250713
PA14_00875,53.29565341347689,54.98893046484108,0.8077163466679941,-0.04512334787600505,0.09274112772178053
PA14_00890,11.509312324263101,12.598497000914227,0.47766397627832474,-0.13044997688383111,0.32087751042999746
PA14_00900,14.265917362014227,16.877715693782527,0.21460237371742166,-0.242547108722933,0.6683654786110907
PA14_00910,54.627186058744236,62.16712388833798,0.3068318938401837,-0.18653272074549973,0.5130994993551251
PA14_00925,27.56781588252416,27.759105168895804,0.9594761492467763,-0.009976090576511823,0.017965816529610698
PA14_00940,29.647347410666967,31.17785746047041,0.7328685645846394,-0.07261875497523711,0.13497390638743056
PA14_00960,10.950674593433739,10.965813632360485,0.98694555098338,-0.001993112793753394,0.005706806357457348
PA14_00970,14.958476718275213,16.3303212717216,0.2268391524529061,-0.12658989301781912,0.6442819840527365
PA14_00980,44.185521589815075,51.50628600554759,0.17778057654215385,-0.22117479222850156,0.7501156897176418
PA14_00990,19.81426392614645,18.589151246664624,0.7021769113665935,0.09207846566206698,0.15355345489193944
PA14_01010,70.39084585300323,49.35533333903979,0.048441954152673876,0.5121818169845923,1.3147783456981645
PA14_01020,132.9825964180046,127.64614724155331,0.773926974045608,0.05908745683121449,0.11130001640399002
PA14_01030,90.27215368721652,77.85291741516241,0.5110234061526362,0.2135299199273044,0.29155920763410537
PA14_01040,23.160452172152464,22.746329512558464,0.9387074541909886,0.026029656152624522,0.02746973342725202
PA14_01060,5.887699850953179,7.099823124826282,0.5566419824148529,-0.2700788879778618,0.2544240419050908
PA14_01070,25.43994985462254,24.003995164323396,0.7620431960180541,0.08382127690389636,0.11802041020819927
PA14_01080,8.753803235529999,9.435721284579413,0.7430468198804978,-0.10822282855405385,0.1289838201894749
PA14_01100,97.69813263204912,81.59434794070286,0.4225660115596328,0.25986176259592625,0.3741054376805885
