Geneid,wt_light_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_22710,105.55359736159353,143.94376787003736,0.018147460145011427,-0.44752957638776564,1.7411841487100685
PA14_22720,3.959532176635816,6.375018135540192,0.083685131137832,-0.6870993229356271,1.077351698977193
PA14_22730,12.595048746293022,19.937764373076764,0.011766342495439766,-0.6626469008586585,1.9293585142934029
PA14_22740,14.808251570044215,19.24561528623316,0.08015177138602268,-0.3781284627745606,1.0960868751230122
PA14_22760,39.7612093336161,50.76460848326375,0.008843450264592304,-0.35246140010689575,2.0533782623025654
PA14_22770,57.73647288173144,68.14867086636305,0.014755094495659314,-0.23920253984687534,1.8310580048145138
PA14_22780,135.64413039407978,108.99543116899099,0.007739582784486534,0.3155589560129045,2.1112824500766645
PA14_22800,85.1196624278072,63.61581717119382,0.01387270255926918,0.42010690778389215,1.857838925210454
PA14_22820,44.511972951970485,55.5020329902653,0.026446855429448933,-0.3183471622837246,1.5776259588206722
PA14_22830,122.08535734767518,164.19657588563305,0.001411630009014247,-0.42753386178298547,2.8502791178023164
PA14_22840,71.25998023341201,80.53143150259207,0.04362503136575038,-0.17645989290515893,1.3602642477813616
PA14_22860,88.95244800111898,84.9881425030935,0.6624995774365581,0.06577273742174121,0.17881439439799168
PA14_22870,36.32964863149727,36.31908298329361,0.9958047903344716,0.00041963590040908086,0.0018257888751570823
PA14_22880,8.109875864763557,7.7304501919320225,0.557657110073217,0.06912738930756357,0.2536327562163773
PA14_22890,100.75041534358724,125.84883434267222,0.6476140819663269,-0.3209060646488957,0.18868371635198947
PA14_22910,264.10096134930626,288.48309123365357,0.8237761226138351,-0.1273972076216122,0.08419080034675137
PA14_22930,122.45981135403308,114.29405334886177,0.7792939221879477,0.09955802198093991,0.10829871086530783
PA14_22940,57.74530823852905,62.03250136660055,0.7712372265058911,-0.10332056539778625,0.11281201583253699
PA14_22960,30.451366501311224,36.4787675387777,0.3564324770671094,-0.26055000961960423,0.4480227312108379
PA14_22980,1248.4322360258368,843.5654037815121,0.08151078919719702,0.5655456806229873,1.0887849019510427
PA14_22990,188.02240257799656,115.57068115203435,0.04885891199289804,0.7021291117608245,1.3110562082742006
PA14_23000,144.51524733931114,114.58459223714931,0.309945116042399,0.33480864893556256,0.5087152026501954
PA14_23010,549.9867145851583,431.4644587684226,0.19974334901710356,0.35015504428140115,0.6995276727562013
PA14_23030,727.218911358732,496.9972077065324,0.056830427894387595,0.5491519701649957,1.2454190740015167
PA14_23050,136.7796263022101,115.80338792165803,0.018742062589889374,0.24017588979584842,1.7271826161101864
PA14_23060,45.22928500825557,43.39894606369998,0.521240415128751,0.05959718096041687,0.28296191800373166
PA14_23070,201.05234506798465,173.93802589007814,0.6223854183584037,0.20899779720237258,0.20594059082663446
PA14_23080,46.49261105680299,68.56715911019678,0.3772009706798083,-0.5605162884552248,0.4234271983304091
PA14_23090,51.2714476030626,66.5758579398576,0.5505104891274442,-0.3768434770509656,0.25923440180254564
PA14_23100,36.33209958841537,41.83777330344257,0.19369985449486354,-0.20356132525009094,0.7128707055178618
PA14_23110,142.22044416354564,167.06888605218282,0.08817136744331362,-0.23231421065481933,1.054672423714017
PA14_23120,32.5933858324222,28.895086376754666,0.060429005705825,0.17375504011344428,1.2187545515404914
PA14_23130,51.245147532205955,54.37023172964653,0.524295836199843,-0.0854015749170521,0.2804235913089974
