Geneid,dimA_dark_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_40060,42.24447431310351,50.25347896028254,0.00104852769748251,-0.2504608240417745,2.9794200929001726
PA14_40070,83.99917877954006,94.15244621569049,0.008264718312521634,-0.16462335334091097,2.0827719439560832
PA14_40080,33.327252766042214,33.63663389770209,0.9340715451582565,-0.013330940274089164,0.029619857734102577
PA14_40100,42.06339133362744,33.83734663306952,0.04527143950189394,0.31394871924365597,1.3441756959666462
PA14_40110,16.521690664380674,16.15404372204044,0.8353764447474742,0.032465973990827734,0.07811777477405521
PA14_40120,41.1090339379864,40.890384332859256,0.9411543786399637,0.007693845823213191,0.026339132903922743
PA14_40130,9.45136333104267,9.393752933449981,0.9344313550909762,0.008820798320840829,0.02945259712110081
PA14_40150,15.458155191333928,18.415077388346702,0.025395738803704052,-0.25251928973249443,1.5952391483126551
PA14_40160,2.0244977924235283,1.7898198007388213,0.6182817330287412,0.17774963172547165,0.20881358442787615
PA14_40170,8.893596360615547,8.185697996821615,0.6428869560615281,0.11966147380782768,0.1918653858234672
PA14_40180,79.86979560785231,78.71928719874823,0.9240244572340102,0.020932864302761606,0.034316533648719824
