Geneid,dimA_light_mean_rpm,bphP_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_58270,136.7901675835367,142.64700201602946,0.7906382664918221,-0.060484892230213236,0.10202216985130792
PA14_58290,63.652564423924645,54.986159571238154,0.22862419082346552,0.21115010707606663,0.6408778186244418
PA14_58300,273.92642960916686,275.4197176700497,0.9356248232551589,-0.00784337739702476,0.02889826435355799
PA14_58320,173.94048572912857,148.56610892698842,0.16400667521643958,0.22748872219383123,0.785138475423837
PA14_58330,594.4748501365299,551.0086113729363,0.17165384482362006,0.10954091039845287,0.76534646449584
PA14_58350,709.3449861615227,749.4410821243117,0.6672158881029042,-0.07932761874588855,0.17573362059384298
PA14_58360,411.8783654840684,367.9372229394865,0.4649617831371982,0.16275871186546145,0.3325827418513586
PA14_58375,355.7369278819314,395.16160391451945,0.23835944698864858,-0.15163202943659976,0.6227676308410458
PA14_58380,48.20214039076245,33.08179326800663,0.06724849458810145,0.5430597533171323,1.1723174332496928
PA14_58390,1669.4164939194088,1630.64987891747,0.8912414191942968,0.033896879471833986,0.050004638474728046
PA14_58410,833.8210313907115,918.252623492658,0.7134953765693213,-0.13915335106136947,0.14660883675667397
PA14_58420,1417.8505320473705,1489.4470591689512,0.8490859225132684,-0.07107139179786634,0.07104835947894904
PA14_58440,777.4006058453243,847.5164857078653,0.7094335963322261,-0.12458319933663958,0.14908824868588344
PA14_58450,501.55478188068713,534.743327895813,0.844803654773249,-0.09243928994705528,0.07324421596980214
PA14_58470,557.327647627797,612.4566320869039,0.7877517871745572,-0.13608196688372198,0.10361060286780857
PA14_58490,499.2751920482865,543.8169221616196,0.7649112871163464,-0.12328582077278685,0.1163889305325658
PA14_58500,60.9819952856397,38.60438172056561,0.002343949085956483,0.6596187319756288,2.6300518260704564
PA14_58510,15.738471491986765,15.065390082510447,0.8415862717421597,0.06305740094710276,0.07490135750028616
PA14_58515,39.383373719838005,26.82048753926857,0.03904482366461978,0.5542512205816634,1.4084365342041578
PA14_58530,32.66060679652932,26.344612587291802,0.21855309405753687,0.31004361837597305,0.6604430408210763
PA14_58540,46.690206267406005,39.87407418467878,0.31732511360972404,0.2276689339549092,0.49849555578951643
PA14_58550,40.561360505543156,45.46728027471991,0.5412191807681506,-0.16472266037297348,0.26662682043702435
PA14_58560,20.816361130499278,25.12114987494688,0.3852437387340276,-0.2711845929884728,0.4142644110270873
PA14_58570,70.01884660225444,49.71163364529192,0.49495669547415005,0.4941597727017555,0.30543279649939525
PA14_58580,18.7405744841942,15.418543979128303,0.5560398729487612,0.2814986262628001,0.2548940645677032
PA14_58600,15.494838883211463,13.066304735569652,0.5957311260393073,0.2459365416839435,0.2249497080865429
PA14_58610,12.014133180687216,9.61912718010577,0.2637595372412167,0.320754629574158,0.5787918278218428
PA14_58620,27.935703301946972,24.905021343526915,0.5241002106054784,0.1656734870357911,0.2805856657796071
PA14_58630,360.3721601270706,417.7655761849503,0.32561992726084255,-0.21320605606840234,0.48728902505247573
PA14_58650,171.57715923744308,155.92448836014125,0.2925974184563555,0.13800998466277703,0.533729509909633
PA14_58660,52.57396247461605,43.77271699523239,0.11352821111483075,0.26431653231620866,0.9448962053509856
PA14_58670,27.328241149508596,28.632288554748467,0.7589079333371211,-0.06725037484362598,0.11981090719922706
PA14_58690,171.8735358411932,120.02093797875561,0.0035434893174393694,0.5180613094938431,2.4505688721684806
PA14_58700,56.64591664234633,60.58210647974511,0.6210120110450192,-0.09691977837271022,0.20690000001644931
PA14_58710,5.095162292549067,4.017109922840816,0.5254176450636266,0.3429700734953337,0.2794953464241608
PA14_58720,144.4423450340682,100.6181640031731,0.4566827135666823,0.5216029729913287,0.3403854270719695
PA14_58730,4753.846313909769,5153.0454886052585,0.8369755396068117,-0.11633006448556502,0.07728723396493925
PA14_58740,1.4457500329967263,1.9963320589821245,0.4057255786517284,-0.4655332590103382,0.3917676116766839
PA14_58750,214.6037596369059,212.4652421172691,0.9043595268004144,0.014448505408819035,0.043658882063698175
PA14_58760,312.64385610281545,259.79216430301045,0.5434129460374666,0.2671622477038981,0.2648700193490059
PA14_58770,81.16014449604376,58.709564861111005,0.09851141018955048,0.46717586195218475,1.006513463965668
PA14_58780,59.94471754610018,61.831914534998134,0.7112881157929516,-0.04471905045539915,0.14795444743691638
PA14_58790,21.94452867410702,23.494463368391393,0.5237521152634949,-0.09845952662171716,0.28087421004873464
PA14_58800,16.379225974754743,14.361100936842016,0.645537703320644,0.18970081570795952,0.1900783872226341
PA14_58810,82.87870692422591,60.22487006494472,0.02491649121192241,0.460642110846512,1.6035131158889024
PA14_58820,65.43879145089133,54.870004782845335,0.22948393887268811,0.25412839782332236,0.6392477044755274
PA14_58830,109.07088750480564,96.05102192120194,0.5613511883026963,0.18339320772597417,0.2507653536759611
PA14_58840,53.21605134218388,45.9047460697739,0.006131052084215289,0.21321813976387835,2.2124649944597476
PA14_58850,29.26588103116909,24.507888462296602,0.16251785324765175,0.25597350914824696,0.7890989230479181
PA14_58860,22.973604149594944,25.119951170755225,0.40847846425720685,-0.12885644604126853,0.38883083533916507
PA14_58870,200.61874613221823,210.67775111416086,0.560137776972704,-0.07058154425112749,0.25170513653044574
PA14_58880,19.54042821095671,22.539961080114605,0.14056079609944516,-0.20602293007908917,0.8521357917758734
PA14_58890,3.5176340508134527,2.6827128880974356,0.002088700435308966,0.3909125948792064,2.680123842748923
PA14_58900,55.28864253056839,49.113865039987,0.12158458418328727,0.1708527861071627,0.91512148615331
PA14_58910,4.64933154091809,2.992681115422114,0.049826807564528494,0.6355845486774185,1.3025369374631746
PA14_58920,2.604352763477128,2.444044792722345,0.596077922731312,0.09165410905019199,0.22469696307829495
PA14_58930,1.6206803874601194,1.4924524077320918,0.7367459406209785,0.1189145920215848,0.13268224838033224
PA14_58940,0.3495845198055581,0.2719270887535023,0.5109710870630443,0.36242006899976115,0.29160367341563087
PA14_58950,2.3491722139574445,2.1617959075316446,0.3851668078097328,0.11992209114328078,0.41435114575877
PA14_58960,1.7325994274049143,1.3818275565748352,0.423070294089959,0.3263603148051554,0.37358746761535244
PA14_58970,2.3999173495206514,1.999898604497673,0.4313441889960868,0.26305772680708145,0.3651760483365056
PA14_58980,0.8292338262350928,1.0765530325380432,0.35205283025312645,-0.3765680572836256,0.45339215991446813
PA14_58990,9.117826234749904,8.60431061260722,0.6334330892051223,0.08363029759247002,0.19829925374616014
PA14_59000,5.248170419606958,5.315943914905691,0.9329862645973375,-0.018511311528604947,0.030124749879965954
PA14_59010,1.3816491631138212,1.2872270247248772,0.8305523003172194,0.10212471589128319,0.0806330145984903
PA14_59020,5.453809420071528,4.284117077159457,0.4447504961288249,0.3482662971122477,0.3518835587788529
PA14_59030,0.8405485754399381,0.7364543382523613,0.787957435803134,0.19073483852412923,0.10349724176817597
PA14_59050,39.13596781527515,41.093778251666194,0.6350755807994899,-0.07042485658271418,0.19717458593502332
PA14_59060,2.3212452430645176,3.00652694521735,0.2482827948747139,-0.3731987717625449,0.6050533744843445
PA14_59070,39.210804586167406,38.43471114874537,0.6743457311777952,0.028841418575983744,0.17111738737257254
PA14_59090,9.60144621025807,9.529254438255194,0.9279125638070964,0.010888382524656718,0.03249294495044869
PA14_59100,11.656019921135249,10.981803718279442,0.5567419195377816,0.08596020864607068,0.2543460775280854
PA14_59110,3.9600380586510133,2.8193176208683752,0.13685561939466848,0.4901681067598838,0.8637373654296584
PA14_59120,2.7299149719190985,2.8281414485579806,0.9222070426613692,-0.05099824022218346,0.035171565507099524
PA14_59130,12.394904305362738,14.37320808044412,0.40700102614956524,-0.21363495370667215,0.3904044958103279
PA14_59140,9.613026320143836,9.490807970985546,0.8968807017223455,0.018459769694523846,0.04726532064522411
PA14_59150,67.86709862058363,76.17892295144311,0.23504731969246737,-0.16667955003445944,0.6288446968237743
PA14_59160,3.279356820820329,1.9021406598386872,0.17763295833685577,0.7857885860439152,0.7504764513059575
PA14_59170,57.56736247276049,49.77384133704644,0.6168480483035585,0.2098633777281192,0.2098218050278266
PA14_59180,13.219751705969431,11.130012237857764,0.44020081837847674,0.24823987778205264,0.35634915438392895
PA14_59190,95.22708455577079,101.05512977579826,0.8795279972559928,-0.08569868750551522,0.05575033146489431
PA14_59200,17.56552678060861,11.853787192609369,0.008389157227425949,0.5673987347326505,2.076281666091741
PA14_59210,6.226819553394836,5.396892975137635,0.24445355587665502,0.20636635331176986,0.6118036410085412
PA14_59220,77.54038848643872,247.8332483653871,0.0058476701951222145,-1.676349863940372,2.233017129291913
PA14_59230,5.809072408542505,7.774989377739117,0.34340873549650147,-0.4205328192022446,0.464188661622177
PA14_59240,4.284213880858098,3.290980175140074,0.21765350284069346,0.3805130529572798,0.6622343390641627
PA14_59250,4.822100068853185,4.922718001204533,0.7151825293077043,-0.029793499609674767,0.14558310315779344
PA14_59270,6.273758136723976,5.566956453738567,0.4791039902046156,0.17244108040550207,0.319570212116954
PA14_59280,1.8352201538436903,1.4380901375874287,0.2689532565639452,0.3517987852451085,0.5703231927868992
PA14_59290,5.476963916878532,4.992375539984723,0.690115224758932,0.13364988457400045,0.16107839143785388
PA14_59310,5.609145195296159,5.37080578093978,0.8482986478390079,0.06264236349210038,0.07145122524933879
PA14_59320,6.776444446028532,8.383951391684795,0.20522535898177313,-0.30710180583300123,0.6877689759901078
PA14_59340,11.557360577585982,9.37267517675665,0.14616308560923444,0.302279135158476,0.8351622972857945
PA14_59350,13.548248604877239,11.279771061589804,0.12557776059902898,0.2643685538608702,0.9010872658879275
PA14_59360,2.5067231484562087,2.6526598374353543,0.7492355385767141,-0.08163697916801779,0.12538163086739615
PA14_59370,11.092339705009318,9.397433870464276,0.580053900185953,0.23922491478761732,0.23653164873756952
PA14_59380,150.7832727479805,114.23968564377111,0.3318574950651402,0.4004124729541751,0.4790483692870477
PA14_59390,97.2018815097914,76.67404890505834,0.37595277889323203,0.3422458695280667,0.4248667006946208
PA14_59400,89.60032987776742,77.89761600805552,0.568503646567126,0.20192486454251798,0.24526674526137995
PA14_59410,0.6833805959904792,0.33466452830187166,0.3591898098275903,1.0299711084556573,0.44467599271303654
PA14_59430,15.134498941479686,12.75936980217132,0.5238377105314392,0.2462838174404252,0.28080324037775717
PA14_59440,7.662502570687924,5.443672099653477,0.3076419728245446,0.4932353960075803,0.5119544122953954
PA14_59470,8.617082913768902,8.869581917949906,0.901962362199068,-0.04166653129692744,0.0448115846645972
