Geneid,bphP_light_mean_rpm,wt_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_02340,3.8726530640793313,2.4904329448995735,0.18030490268041596,0.6369254570108606,0.7439924641921669
PA14_02360,7.515429170073507,9.115980422612411,0.15403911647806312,-0.27854229563615196,0.8123689810243925
PA14_02370,0.6244961727031976,0.6367663310357323,0.9542885497491229,-0.028071274176605026,0.020320287124043823
PA14_02380,3.6411900817599014,3.172979070353868,0.3955210681795579,0.19857198381960858,0.4028303780312077
PA14_02390,5.184410531577601,5.080406149492643,0.8587657125698123,0.02923612027352377,0.06612530370830189
PA14_02410,1.8907895828736738,1.5233158775518951,0.3222070241507745,0.31177347698318353,0.4918649961431508
PA14_02420,2.7054990564488555,3.044724442226878,0.6125417488573364,-0.17041685877934962,0.21286430585246227
PA14_02435,1.9789114521798057,2.3254415907889876,0.2254175833859162,-0.23279751909331817,0.6470122104299446
PA14_02450,60.8121318677509,59.70394143491984,0.9122292544092927,0.026532989855121467,0.03989600442044194
PA14_02460,16.708562419588635,20.399526546383843,0.06212458016725602,-0.2879480396777847,1.2067365331746698
PA14_02470,66.23497024988175,62.55129525910407,0.47419834912348324,0.08255336136386,0.3240399623101916
PA14_02490,0.7174669643132566,0.7699540063763121,0.9070583125758591,-0.10185970593224328,0.04236479230498982
PA14_02500,1.4093776229151596,1.8487137692626252,0.5668824434795753,-0.3914633808090779,0.24650699303197984
PA14_02510,1.6000554215806755,1.29959838088244,0.5255690001526305,0.30005578583638765,0.27937025885865086
PA14_02520,137.5466582684787,88.85426115085004,0.3300221198384133,0.6304082130031076,0.48145695041963943
PA14_02530,51.72736225402242,39.28445219727075,0.3339713241257031,0.39696917269178217,0.4762908215375869
PA14_02550,17.38226631600217,9.869114156655662,0.0255855996938947,0.8166236211289756,1.5920043992626265
PA14_02560,2.386586686559942,1.4660847396653784,0.07843689379111309,0.7029798092509375,1.1054796133225884
PA14_02570,1.1359866521255575,0.7581544322052086,0.0197443543521238,0.5833815020635361,1.7045570632895262
PA14_02580,4.247548246070397,4.573538994063605,0.23202414059431933,-0.10668058925730116,0.6344668272578873
PA14_02590,4.5212948118030525,4.684969072296628,0.8501572127144456,-0.05130351927617405,0.07050075628446274
PA14_02610,2.645524532662515,2.0063931566392195,0.3894265197398861,0.3989492639222822,0.40957447658455026
PA14_02620,1.866032908953306,1.7754865676745386,0.8795982237942855,0.07175993832811856,0.055715656297512996
PA14_02630,3.3857389571777303,2.9268289029750876,0.29051315180293696,0.21013225695726945,0.5368342019099589
PA14_02640,6.942414056665572,11.906266887369197,0.08669154800462263,-0.7782117217201584,1.0620232420149427
PA14_02650,38.5676436136829,40.821533224424606,0.25303012345608566,-0.08193936388448382,0.596827772610805
